a433;Photo.LensMake
a434;Photo.LensModel
a435;Photo.LensSerialNumber
a436;Photo.ImageTitle
a437;Photo.Photographer
a438;Photo.ImageEditor
a439;Photo.CameraFirmware
a43a;Photo.RAWDevelopingSoftware
a43b;Photo.ImageEditingSoftware
a43c;Photo.MetadataEditingSoftware
a460;Photo.CompositeImage
a461;Photo.SourceImageNumberOfCompositeImage
a462;Photo.SourceExposureTimesOfCompositeImage
a500;Photo.Gamma
0001;Iop.InteroperabilityIndex
0002;Iop.InteroperabilityVersion
1000;Iop.RelatedImageFileFormat
1001;Iop.RelatedImageWidth
1002;Iop.RelatedImageLength
0000;GPSInfo.GPSVersionID
0001;GPSInfo.GPSLatitudeRef
0002;GPSInfo.GPSLatitude
0003;GPSInfo.GPSLongitudeRef
0004;GPSInfo.GPSLongitude
0005;GPSInfo.GPSAltitudeRef
0006;GPSInfo.GPSAltitude
0007;GPSInfo.GPSTimeStamp
0008;GPSInfo.GPSSatellites
0009;GPSInfo.GPSStatus
000a;GPSInfo.GPSMeasureMode
000b;GPSInfo.GPSDOP
000c;GPSInfo.GPSSpeedRef
000d;GPSInfo.GPSSpeed
000e;GPSInfo.GPSTrackRef
000f;GPSInfo.GPSTrack
0010;GPSInfo.GPSImgDirectionRef
0011;GPSInfo.GPSImgDirection
0012;GPSInfo.GPSMapDatum
0013;GPSInfo.GPSDestLatitudeRef
0014;GPSInfo.GPSDestLatitude
0015;GPSInfo.GPSDestLongitudeRef
0016;GPSInfo.GPSDestLongitude
0017;GPSInfo.GPSDestBearingRef
0018;GPSInfo.GPSDestBearing
0019;GPSInfo.GPSDestDistanceRef
001a;GPSInfo.GPSDestDistance
001b;GPSInfo.GPSProcessingMethod
001c;GPSInfo.GPSAreaInformation
001d;GPSInfo.GPSDateStamp
001e;GPSInfo.GPSDifferential
001f;GPSInfo.GPSHPositioningError
b000;MpfInfo.MPFVersion
b001;MpfInfo.MPFNumberOfImages
b002;MpfInfo.MPFImageList
b003;MpfInfo.MPFImageUIDList
b004;MpfInfo.MPFTotalFrames
b101;MpfInfo.MPFIndividualNum
b201;MpfInfo.MPFPanOrientation
b202;MpfInfo.MPFPanOverlapH
b203;MpfInfo.MPFPanOverlapV
b204;MpfInfo.MPFBaseViewpointNum
b205;MpfInfo.MPFConvergenceAngle
b206;MpfInfo.MPFBaselineLength
b207;MpfInfo.MPFVerticalDivergence
b208;MpfInfo.MPFAxisDistanceX
b209;MpfInfo.MPFAxisDistanceY
b20a;MpfInfo.MPFAxisDistanceZ
b20b;MpfInfo.MPFYawAngle
b20c;MpfInfo.MPFPitchAngle
b20d;MpfInfo.MPFRollAngle
